date,1,2,3,4,5
2016-06-24,1.0012911430533822,1.001532902635311,1.0014974413725404,1.001285950026087,1.0015352147688117
2016-06-27,1.0038290084809174,1.004299047456286,1.0044337587323735,1.0038429422391002,1.004135255288156
2016-06-28,1.0077838796832488,1.0081360410312885,1.0085925738553188,1.0074005460219815,1.007758799745119
2016-06-29,1.013225932117654,1.013606054766711,1.0139730326809833,1.0121414765862897,1.0123543321529342
2016-06-30,1.0201200049375543,1.0205097039863902,1.0205086640897316,1.0181385342216078,1.0188359688579542
2016-07-01,1.027683197834116,1.02706029382787,1.0269073631547094,1.023758984742539,1.0253105407492673
2016-07-04,1.03491528972371,1.0329169941934684,1.0323506766369437,1.0286567115070364,1.0312562926565658
2016-07-05,1.04208793294124,1.039206019786163,1.037336184340686,1.0330193426104028,1.0365155687131886
2016-07-06,1.048776172447432,1.0452057238945152,1.0420375399724702,1.0368670625057657,1.0419699940318174
2016-07-07,1.0551681390786647,1.0510083510875607,1.0465666483755725,1.0402910348504673,1.0459536410645078
2016-07-08,1.060664891353541,1.0570147791635198,1.050829356953803,1.0436654912304646,1.04822220944139
2016-07-11,1.065782803553489,1.0633015638840857,1.0555077383490878,1.0471962216344874,1.0501223791951808
2016-07-12,1.069418487257031,1.068141717369533,1.0599137253140372,1.0505794095659151,1.0517927340274507
2016-07-13,1.0720442160333585,1.0714584883797642,1.0633880949517187,1.0529268115277046,1.0517895109927748
2016-07-14,1.0740373880982559,1.0734136998273862,1.0658242617639442,1.0541675719713992,1.0504332768059303
2016-07-15,1.0749111684331745,1.0737720365432042,1.0666086161652988,1.0540026914562042,1.0486199565169334
2016-07-18,1.075124458634734,1.073344709775625,1.0666464155261908,1.0533705981617536,1.0460490182637634
2016-07-19,1.0759224005381842,1.073373135094688,1.066937358476001,1.0526171640119204,1.0433129389019882
2016-07-20,1.0758331549303581,1.0724261178629089,1.0663056658551848,1.0506872477994444,1.0390652891150314
2016-07-21,1.0747869850694745,1.0702317889590902,1.0646498763856123,1.047430435604863,1.033722828621846
2016-07-22,1.0728933365289037,1.0671412232261812,1.0622936279984188,1.0433707192412318,1.0272114501498337
2016-07-25,1.0688962182976431,1.0615501170417327,1.058044699869362,1.0372431715604467,1.0195158645455953
2016-07-26,1.0635547831335528,1.0538851052011153,1.0508283823499442,1.028110314274889,1.0091535674975216
2016-07-27,1.0602229560673053,1.0474696732186806,1.0444839549985903,1.0199510446965454,0.999377974246508
2016-07-28,1.0577334202716604,1.0424107899071882,1.0391661041103855,1.0133121391817568,0.9914235844437064
2016-07-29,1.0563357389298398,1.0386606246284065,1.0350947770912948,1.0080861929825495,0.984904842421356
2016-08-01,1.0586686978302664,1.0385339357658732,1.0340361925626715,1.0058192550923792,0.9810669353325506
2016-08-02,1.0634022322525594,1.0412098268315935,1.0362723096153617,1.0072568792560896,0.9808997038956171
