date,code,name,turnover_ratio,pe,pb,average_price,money_ratio,circulating_market_cap,average_circulating_market_cap,dividend_ratio
2015-01-23,801710,建筑材料,1.9977,20.65,2.22,13.33,1.08,398744702400.0,5951413500.0,1.05
2015-01-23,801050,有色金属,3.6551,51.31,3.34,15.47,4.98,973059446500.0,10242731000.0,0.48
2015-01-23,801160,公用事业,1.5645,21.34,2.65,13.91,2.9,1219849224400.0,11617611700.0,1.39
2015-01-23,801770,通信,2.1656,44.39,3.19,18.55,1.78,459451995500.0,7787322000.0,0.42
2015-01-23,801780,银行,0.7154,7.08,1.26,10.05,7.39,5548435724400.0,346777232800.0,3.3
2015-01-23,801890,机械设备,2.5621,48.33,3.06,17.13,5.83,1424356854000.0,6219898900.0,0.66
2015-01-26,801130,纺织服装,3.0564,34.4,2.8,13.62,1.81,336243813800.0,4310818100.0,1.21
2015-01-26,801720,建筑装饰,1.8337,17.31,2.2,13.98,3.24,1006087243500.0,15720113200.0,1.08
2015-01-26,801150,医药生物,2.0516,42.04,4.68,26.84,5.02,1700376190400.0,8949348400.0,0.61
2015-01-26,801110,家用电器,2.0364,15.46,2.95,17.29,1.35,523669012800.0,9880547400.0,2.0
2015-01-26,801080,电子,2.3881,58.02,3.69,19.51,3.19,785413128300.0,5570305900.0,0.4
2015-01-26,801760,传媒,2.5213,60.97,5.95,33.83,3.2,708672447500.0,11617581100.0,0.34
2015-01-26,801740,国防军工,3.3863,116.66,4.29,25.96,3.02,631857207300.0,21788179600.0,0.17
2015-01-26,801210,休闲服务,4.0917,60.6,4.37,21.21,0.75,177206036800.0,5369879900.0,0.39
2015-01-26,801040,钢铁,2.0366,48.53,1.5,7.51,2.0,553162528700.0,16762500900.0,0.52
2015-01-26,801170,交通运输,1.4519,25.01,2.14,10.51,3.74,1352817310400.0,15915497800.0,1.35
2015-01-26,801230,综合,2.8653,55.36,4.01,12.27,1.24,269370346800.0,5082459400.0,0.25
2015-01-26,801020,采掘,0.5524,23.42,1.81,10.88,2.09,3068217510900.0,48701865300.0,1.47
2015-01-26,801790,非银金融,3.5694,34.59,3.45,23.34,15.76,3303470413500.0,91763067000.0,0.54
2015-01-26,801880,汽车,1.466,19.55,2.67,16.61,2.14,1091407351000.0,10394355700.0,1.34
2015-01-26,801120,食品饮料,1.623,24.75,3.81,22.07,1.8,923154994300.0,13575808700.0,1.77
2015-01-26,801730,电气设备,3.0951,48.2,3.59,17.29,4.49,957201136200.0,6511572400.0,0.55
2015-01-26,801200,商业贸易,3.1765,33.84,2.84,12.25,3.47,695853371400.0,7324772300.0,0.83
2015-01-26,801030,化工,1.4396,35.74,2.85,14.07,5.12,1853869745900.0,7597826800.0,0.77
2015-01-26,801180,房地产,2.0538,19.55,2.47,11.01,5.42,1586141122100.0,11014868900.0,1.2
2015-01-26,801750,计算机,3.1672,73.02,6.59,33.01,5.22,1058668124300.0,8020213100.0,0.35
2015-01-26,801010,农林牧渔,2.6488,59.08,3.72,13.36,1.82,453311048300.0,5596432700.0,0.43
